"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","566","418","56.599999999999994","41.8"
"scientific reasoning","122","89","59","72.95081967213115","48.36065573770492"
"textbook question answering","158","104","76","65.82278481012658","48.10126582278481"
"numeric commonsense","144","53","36","36.80555555555556","25.0"
"arithmetic reasoning","353","126","121","35.69405099150141","34.27762039660057"
"visual question answering","179","104","68","58.10055865921788","37.988826815642454"
"geometry reasoning","239","163","110","68.20083682008368","46.02510460251046"
"algebraic reasoning","281","190","127","67.61565836298932","45.195729537366546"
"geometry problem solving","208","152","104","73.07692307692307","50.0"
"math word problem","186","37","54","19.892473118279568","29.03225806451613"
"logical reasoning","37","24","3","64.86486486486487","8.108108108108109"
"figure question answering","269","169","116","62.825278810408925","43.12267657992565"
"statistical reasoning","301","158","154","52.49169435215947","51.162790697674424"
