"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","582","246","58.199999999999996","24.6"
"scientific reasoning","122","94","41","77.04918032786885","33.60655737704918"
"textbook question answering","158","108","52","68.35443037974683","32.91139240506329"
"numeric commonsense","144","45","22","31.25","15.277777777777779"
"arithmetic reasoning","353","131","86","37.110481586402265","24.362606232294617"
"visual question answering","179","98","55","54.7486033519553","30.726256983240223"
"geometry reasoning","239","213","48","89.1213389121339","20.0836820083682"
"algebraic reasoning","281","239","60","85.05338078291815","21.352313167259787"
"geometry problem solving","208","202","42","97.11538461538461","20.192307692307693"
"math word problem","186","46","30","24.731182795698924","16.129032258064516"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","128","67","47.58364312267658","24.907063197026023"
"statistical reasoning","301","121","69","40.19933554817276","22.92358803986711"
