"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","542","643","54.2","64.3"
"scientific reasoning","122","90","74","73.77049180327869","60.65573770491803"
"textbook question answering","158","100","101","63.29113924050633","63.92405063291139"
"numeric commonsense","144","33","60","22.916666666666664","41.66666666666667"
"arithmetic reasoning","353","149","228","42.20963172804532","64.58923512747874"
"visual question answering","179","92","105","51.39664804469274","58.659217877094974"
"geometry reasoning","239","146","137","61.08786610878661","57.32217573221757"
"algebraic reasoning","281","170","162","60.4982206405694","57.65124555160143"
"geometry problem solving","208","137","120","65.86538461538461","57.692307692307686"
"math word problem","186","65","131","34.946236559139784","70.43010752688173"
"logical reasoning","37","12","8","32.432432432432435","21.62162162162162"
"figure question answering","269","148","186","55.01858736059479","69.14498141263941"
"statistical reasoning","301","149","232","49.501661129568106","77.0764119601329"
