model,data_augmentations,instance_id,train_trial_index,score,score_name,unique_id_inc_seed,split,sub_split
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id5748,0,0.25,RR@10,"msmarco:track=regular,valid_topk=30_id5748_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id7792,0,0.0,RR@10,"msmarco:track=regular,valid_topk=30_id7792_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id3175,0,0.0,RR@10,"msmarco:track=regular,valid_topk=30_id3175_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id3090,0,1.0,RR@10,"msmarco:track=regular,valid_topk=30_id3090_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id2237,0,0.0,RR@10,"msmarco:track=regular,valid_topk=30_id2237_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id2142,0,0.0,RR@10,"msmarco:track=regular,valid_topk=30_id2142_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id3126,0,1.0,RR@10,"msmarco:track=regular,valid_topk=30_id3126_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id3591,0,0.1111111111111111,RR@10,"msmarco:track=regular,valid_topk=30_id3591_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id5733,0,0.0,RR@10,"msmarco:track=regular,valid_topk=30_id5733_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id4171,0,0.25,RR@10,"msmarco:track=regular,valid_topk=30_id4171_0",valid,
together_redpajama-incite-base-3b-v1,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/msmarco:track=regular,valid_topk=30,model=together_redpajama-incite-base-3b-v1,data_augmentation=canonical",id7215,0,0.0,RR@10,"msmarco:track=regular,valid_topk=30_id7215_0",valid,
