model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
ai21_j2-grande,0.995,0.93,,0.93,200,mmlu
ai21_j2-jumbo,0.995,0.96,,0.96,200,mmlu
ai21_j2-large,0.995,0.53,,0.53,200,mmlu
openai_gpt-3.5-turbo-0301,0.995,0.97,,0.97,200,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.19117647058823528,,0.19117647058823528,200,mmlu
writer_palmyra-instruct-30,0.995,0.885,,0.885,200,mmlu
writer_palmyra-x,0.995,0.965,,0.965,200,mmlu
