"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","702","54.0","70.19999999999999"
"scientific reasoning","122","94","84","77.04918032786885","68.85245901639344"
"textbook question answering","158","107","107","67.72151898734177","67.72151898734177"
"numeric commonsense","144","39","75","27.083333333333332","52.083333333333336"
"arithmetic reasoning","353","99","235","28.04532577903683","66.57223796033995"
"visual question answering","179","92","108","51.39664804469274","60.33519553072626"
"geometry reasoning","239","212","168","88.70292887029288","70.29288702928869"
"algebraic reasoning","281","239","192","85.05338078291815","68.32740213523132"
"geometry problem solving","208","203","149","97.59615384615384","71.63461538461539"
"math word problem","186","22","153","11.827956989247312","82.25806451612904"
"logical reasoning","37","24","10","64.86486486486487","27.027027027027028"
"figure question answering","269","116","185","43.12267657992565","68.77323420074349"
"statistical reasoning","301","106","233","35.21594684385382","77.40863787375415"
