"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","453","477","45.300000000000004","47.699999999999996"
"scientific reasoning","122","86","77","70.49180327868852","63.114754098360656"
"textbook question answering","158","100","98","63.29113924050633","62.0253164556962"
"numeric commonsense","144","35","42","24.305555555555554","29.166666666666668"
"arithmetic reasoning","353","95","141","26.912181303116146","39.94334277620396"
"visual question answering","179","86","57","48.04469273743017","31.843575418994412"
"geometry reasoning","239","146","98","61.08786610878661","41.00418410041841"
"algebraic reasoning","281","174","122","61.92170818505338","43.41637010676156"
"geometry problem solving","208","138","85","66.34615384615384","40.86538461538461"
"math word problem","186","22","94","11.827956989247312","50.53763440860215"
"logical reasoning","37","15","5","40.54054054054054","13.513513513513514"
"figure question answering","269","107","143","39.77695167286245","53.159851301115246"
"statistical reasoning","301","106","192","35.21594684385382","63.78737541528239"
