"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","575","645","57.49999999999999","64.5"
"scientific reasoning","122","91","80","74.59016393442623","65.57377049180327"
"textbook question answering","158","104","105","65.82278481012658","66.45569620253164"
"numeric commonsense","144","45","58","31.25","40.27777777777778"
"arithmetic reasoning","353","151","224","42.77620396600567","63.45609065155807"
"visual question answering","179","98","104","54.7486033519553","58.10055865921788"
"geometry reasoning","239","152","149","63.59832635983263","62.34309623430963"
"algebraic reasoning","281","179","180","63.70106761565836","64.05693950177937"
"geometry problem solving","208","143","135","68.75","64.90384615384616"
"math word problem","186","63","131","33.87096774193548","70.43010752688173"
"logical reasoning","37","21","7","56.75675675675676","18.91891891891892"
"figure question answering","269","167","170","62.0817843866171","63.19702602230484"
"statistical reasoning","301","167","224","55.48172757475083","74.4186046511628"
