"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","656","54.0","65.60000000000001"
"scientific reasoning","122","94","79","77.04918032786885","64.75409836065575"
"textbook question answering","158","107","95","67.72151898734177","60.12658227848101"
"numeric commonsense","144","39","73","27.083333333333332","50.69444444444444"
"arithmetic reasoning","353","99","234","28.04532577903683","66.28895184135978"
"visual question answering","179","92","98","51.39664804469274","54.7486033519553"
"geometry reasoning","239","212","150","88.70292887029288","62.76150627615063"
"algebraic reasoning","281","239","165","85.05338078291815","58.718861209964416"
"geometry problem solving","208","203","132","97.59615384615384","63.46153846153846"
"math word problem","186","22","162","11.827956989247312","87.09677419354838"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","116","169","43.12267657992565","62.825278810408925"
"statistical reasoning","301","106","223","35.21594684385382","74.08637873754152"
