"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","681","465","68.10000000000001","46.5"
"scientific reasoning","122","97","71","79.50819672131148","58.19672131147541"
"textbook question answering","158","124","96","78.48101265822784","60.75949367088608"
"numeric commonsense","144","52","41","36.11111111111111","28.47222222222222"
"arithmetic reasoning","353","181","152","51.27478753541076","43.05949008498583"
"visual question answering","179","100","74","55.865921787709496","41.340782122905026"
"geometry reasoning","239","204","95","85.35564853556485","39.74895397489539"
"algebraic reasoning","281","237","119","84.34163701067615","42.34875444839858"
"geometry problem solving","208","185","80","88.9423076923077","38.46153846153847"
"math word problem","186","97","86","52.1505376344086","46.236559139784944"
"logical reasoning","37","25","4","67.56756756756756","10.81081081081081"
"figure question answering","269","175","129","65.05576208178438","47.95539033457249"
"statistical reasoning","301","193","164","64.11960132890366","54.48504983388705"
