"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","487","404","48.699999999999996","40.400000000000006"
"scientific reasoning","122","85","47","69.67213114754098","38.52459016393443"
"textbook question answering","158","91","66","57.59493670886076","41.77215189873418"
"numeric commonsense","144","39","36","27.083333333333332","25.0"
"arithmetic reasoning","353","103","115","29.178470254957507","32.577903682719544"
"visual question answering","179","92","61","51.39664804469274","34.07821229050279"
"geometry reasoning","239","146","99","61.08786610878661","41.42259414225941"
"algebraic reasoning","281","166","116","59.07473309608541","41.281138790035584"
"geometry problem solving","208","137","86","65.86538461538461","41.34615384615385"
"math word problem","186","25","58","13.440860215053762","31.182795698924732"
"logical reasoning","37","12","9","32.432432432432435","24.324324324324326"
"figure question answering","269","142","133","52.78810408921933","49.44237918215613"
"statistical reasoning","301","142","155","47.176079734219265","51.49501661129568"
