"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","458","450","45.800000000000004","45.0"
"scientific reasoning","122","84","72","68.85245901639344","59.01639344262295"
"textbook question answering","158","96","101","60.75949367088608","63.92405063291139"
"numeric commonsense","144","39","41","27.083333333333332","28.47222222222222"
"arithmetic reasoning","353","96","152","27.19546742209632","43.05949008498583"
"visual question answering","179","90","68","50.27932960893855","37.988826815642454"
"geometry reasoning","239","146","102","61.08786610878661","42.67782426778243"
"algebraic reasoning","281","172","131","61.20996441281139","46.619217081850536"
"geometry problem solving","208","137","86","65.86538461538461","41.34615384615385"
"math word problem","186","22","86","11.827956989247312","46.236559139784944"
"logical reasoning","37","21","9","56.75675675675676","24.324324324324326"
"figure question answering","269","113","109","42.00743494423792","40.520446096654275"
"statistical reasoning","301","106","154","35.21594684385382","51.162790697674424"
