"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","476","238","47.599999999999994","23.799999999999997"
"scientific reasoning","122","77","42","63.114754098360656","34.42622950819672"
"textbook question answering","158","86","60","54.43037974683544","37.9746835443038"
"numeric commonsense","144","37","24","25.694444444444443","16.666666666666664"
"arithmetic reasoning","353","94","68","26.628895184135974","19.263456090651555"
"visual question answering","179","88","48","49.162011173184354","26.81564245810056"
"geometry reasoning","239","180","64","75.31380753138075","26.778242677824267"
"algebraic reasoning","281","203","79","72.24199288256227","28.11387900355872"
"geometry problem solving","208","171","55","82.21153846153845","26.442307692307693"
"math word problem","186","20","28","10.75268817204301","15.053763440860216"
"logical reasoning","37","20","6","54.054054054054056","16.216216216216218"
"figure question answering","269","111","47","41.2639405204461","17.472118959107807"
"statistical reasoning","301","104","56","34.55149501661129","18.6046511627907"
