"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","690","480","69.0","48.0"
"scientific reasoning","122","96","68","78.68852459016394","55.73770491803278"
"textbook question answering","158","115","83","72.78481012658227","52.53164556962025"
"numeric commonsense","144","58","45","40.27777777777778","31.25"
"arithmetic reasoning","353","168","153","47.59206798866856","43.342776203966004"
"visual question answering","179","103","91","57.54189944134078","50.83798882681564"
"geometry reasoning","239","218","86","91.21338912133892","35.98326359832636"
"algebraic reasoning","281","246","105","87.54448398576513","37.36654804270463"
"geometry problem solving","208","202","72","97.11538461538461","34.61538461538461"
"math word problem","186","86","74","46.236559139784944","39.784946236559136"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","184","160","68.40148698884758","59.479553903345725"
"statistical reasoning","301","187","177","62.12624584717608","58.80398671096345"
