"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","747","616","74.7","61.6"
"scientific reasoning","122","98","81","80.32786885245902","66.39344262295081"
"textbook question answering","158","119","100","75.31645569620254","63.29113924050633"
"numeric commonsense","144","62","59","43.05555555555556","40.97222222222222"
"arithmetic reasoning","353","203","208","57.50708215297451","58.92351274787535"
"visual question answering","179","103","102","57.54189944134078","56.98324022346368"
"geometry reasoning","239","221","122","92.46861924686193","51.04602510460251"
"algebraic reasoning","281","251","145","89.32384341637011","51.60142348754449"
"geometry problem solving","208","203","106","97.59615384615384","50.96153846153846"
"math word problem","186","124","123","66.66666666666666","66.12903225806451"
"logical reasoning","37","25","10","67.56756756756756","27.027027027027028"
"figure question answering","269","198","185","73.60594795539033","68.77323420074349"
"statistical reasoning","301","217","224","72.09302325581395","74.4186046511628"
