"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","537","656","53.7","65.60000000000001"
"scientific reasoning","122","89","76","72.95081967213115","62.295081967213115"
"textbook question answering","158","101","104","63.92405063291139","65.82278481012658"
"numeric commonsense","144","41","60","28.47222222222222","41.66666666666667"
"arithmetic reasoning","353","159","219","45.04249291784703","62.03966005665722"
"visual question answering","179","95","88","53.072625698324025","49.162011173184354"
"geometry reasoning","239","137","159","57.32217573221757","66.52719665271967"
"algebraic reasoning","281","163","186","58.00711743772242","66.19217081850533"
"geometry problem solving","208","128","142","61.53846153846154","68.26923076923077"
"math word problem","186","76","141","40.86021505376344","75.80645161290323"
"logical reasoning","37","12","12","32.432432432432435","32.432432432432435"
"figure question answering","269","137","181","50.92936802973978","67.28624535315984"
"statistical reasoning","301","139","231","46.179401993355484","76.74418604651163"
