"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","543","583","54.300000000000004","58.3"
"scientific reasoning","122","89","73","72.95081967213115","59.83606557377049"
"textbook question answering","158","101","100","63.92405063291139","63.29113924050633"
"numeric commonsense","144","39","43","27.083333333333332","29.86111111111111"
"arithmetic reasoning","353","128","198","36.26062322946176","56.09065155807366"
"visual question answering","179","92","89","51.39664804469274","49.72067039106145"
"geometry reasoning","239","154","135","64.43514644351464","56.48535564853556"
"algebraic reasoning","281","179","163","63.70106761565836","58.00711743772242"
"geometry problem solving","208","144","120","69.23076923076923","57.692307692307686"
"math word problem","186","48","109","25.806451612903224","58.602150537634415"
"logical reasoning","37","17","6","45.94594594594595","16.216216216216218"
"figure question answering","269","158","165","58.7360594795539","61.33828996282528"
"statistical reasoning","301","155","211","51.49501661129568","70.09966777408638"
