"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","543","585","54.300000000000004","58.5"
"scientific reasoning","122","88","72","72.1311475409836","59.01639344262295"
"textbook question answering","158","100","91","63.29113924050633","57.59493670886076"
"numeric commonsense","144","38","44","26.38888888888889","30.555555555555557"
"arithmetic reasoning","353","140","196","39.6600566572238","55.524079320113316"
"visual question answering","179","94","89","52.513966480446925","49.72067039106145"
"geometry reasoning","239","142","135","59.41422594142259","56.48535564853556"
"algebraic reasoning","281","168","157","59.7864768683274","55.871886120996436"
"geometry problem solving","208","133","120","63.942307692307686","57.692307692307686"
"math word problem","186","56","115","30.107526881720432","61.82795698924731"
"logical reasoning","37","17","7","45.94594594594595","18.91891891891892"
"figure question answering","269","160","170","59.479553903345725","63.19702602230484"
"statistical reasoning","301","170","218","56.47840531561462","72.42524916943522"
