model,train_trial_index,score,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.0,0.8,0.8,10,boolq
AlephAlpha_luminous-extended,1.0,1.0,1.0,10,boolq
ai21_j1-grande,1.0,0.6,0.6,10,boolq
ai21_j1-grande-v2-beta,1.0,0.9,0.9,10,boolq
ai21_j1-jumbo,1.0,0.8,0.8,10,boolq
ai21_j1-large,1.0,0.5,0.5,10,boolq
anthropic_stanford-online-all-v4-s3,1.0,0.9,0.9,10,boolq
cohere_command-medium-beta,1.0,0.8,0.8,10,boolq
cohere_command-xlarge-beta,1.0,0.9,0.9,10,boolq
cohere_large-20220720,1.0,0.7,0.7,10,boolq
cohere_medium-20220720,1.0,0.7,0.7,10,boolq
cohere_medium-20221108,1.0,0.7,0.7,10,boolq
cohere_small-20220720,1.0,0.4,0.4,10,boolq
cohere_xlarge-20220609,1.0,0.7,0.7,10,boolq
cohere_xlarge-20221108,1.0,0.9,0.9,10,boolq
microsoft_TNLGv2_530B,1.0,0.7,0.7,10,boolq
microsoft_TNLGv2_7B,1.0,0.7,0.7,10,boolq
openai_ada,1.0,0.8,0.8,10,boolq
openai_babbage,1.0,1.0,1.0,10,boolq
openai_curie,1.0,0.7,0.7,10,boolq
openai_davinci,1.0,0.6,0.6,10,boolq
openai_text-ada-001,1.0,0.4,0.4,10,boolq
openai_text-babbage-001,1.0,0.3,0.3,10,boolq
openai_text-curie-001,1.0,0.4,0.4,10,boolq
openai_text-davinci-002,1.0,0.8,0.8,10,boolq
openai_text-davinci-003,1.0,0.6,0.6,10,boolq
together_bloom,1.0,0.7,0.7,10,boolq
together_glm,1.0,0.7,0.7,10,boolq
together_gpt-j-6b,1.0,0.9,0.9,10,boolq
together_gpt-neox-20b,1.0,0.5,0.5,10,boolq
together_opt-175b,1.0,0.8,0.8,10,boolq
together_opt-66b,1.0,0.9,0.9,10,boolq
together_t0pp,1.0,0.0,0.0,10,boolq
together_t5-11b,1.0,0.7,0.7,10,boolq
together_ul2,1.0,0.5,0.5,10,boolq
together_yalm,1.0,0.9,0.9,10,boolq
AlephAlpha_luminous-base,1.5,0.9,0.9,10,boolq
AlephAlpha_luminous-extended,1.5,0.9,0.9,10,boolq
ai21_j1-grande,1.5,0.8,0.8,10,boolq
ai21_j1-grande-v2-beta,1.5,0.9,0.9,10,boolq
ai21_j1-jumbo,1.5,0.7,0.7,10,boolq
ai21_j1-large,1.5,0.8,0.8,10,boolq
anthropic_stanford-online-all-v4-s3,1.5,1.0,1.0,10,boolq
cohere_command-medium-beta,1.5,0.9,0.9,10,boolq
cohere_command-xlarge-beta,1.5,1.0,1.0,10,boolq
cohere_large-20220720,1.5,0.7,0.7,10,boolq
cohere_medium-20220720,1.5,0.7,0.7,10,boolq
cohere_medium-20221108,1.5,0.8,0.8,10,boolq
cohere_small-20220720,1.5,0.5,0.5,10,boolq
cohere_xlarge-20220609,1.5,0.6,0.6,10,boolq
cohere_xlarge-20221108,1.5,0.9,0.9,10,boolq
microsoft_TNLGv2_530B,1.5,0.9,0.9,10,boolq
microsoft_TNLGv2_7B,1.5,0.9,0.9,10,boolq
openai_ada,1.5,0.6,0.6,10,boolq
openai_babbage,1.5,0.6,0.6,10,boolq
openai_curie,1.5,0.7,0.7,10,boolq
openai_davinci,1.5,0.5,0.5,10,boolq
openai_text-ada-001,1.5,0.5,0.5,10,boolq
openai_text-babbage-001,1.5,0.5,0.5,10,boolq
openai_text-curie-001,1.5,0.7,0.7,10,boolq
openai_text-davinci-002,1.5,0.9,0.9,10,boolq
openai_text-davinci-003,1.5,1.0,1.0,10,boolq
together_bloom,1.5,0.8,0.8,10,boolq
together_glm,1.5,0.9,0.9,10,boolq
together_gpt-j-6b,1.5,0.7,0.7,10,boolq
together_gpt-neox-20b,1.5,0.7,0.7,10,boolq
together_opt-175b,1.5,0.7,0.7,10,boolq
together_opt-66b,1.5,0.7,0.7,10,boolq
together_t0pp,1.5,0.0,0.0,10,boolq
together_t5-11b,1.5,0.7,0.7,10,boolq
together_ul2,1.5,0.8,0.8,10,boolq
together_yalm,1.5,0.6,0.6,10,boolq
AlephAlpha_luminous-base,1.1,0.7,0.7,10,boolq
AlephAlpha_luminous-extended,1.1,0.7,0.7,10,boolq
ai21_j1-grande,1.1,0.7,0.7,10,boolq
ai21_j1-grande-v2-beta,1.1,0.6,0.6,10,boolq
ai21_j1-jumbo,1.1,0.7,0.7,10,boolq
ai21_j1-large,1.1,0.6,0.6,10,boolq
anthropic_stanford-online-all-v4-s3,1.1,0.9,0.9,10,boolq
cohere_command-medium-beta,1.1,0.5,0.5,10,boolq
cohere_command-xlarge-beta,1.1,0.8,0.8,10,boolq
cohere_large-20220720,1.1,0.7,0.7,10,boolq
cohere_medium-20220720,1.1,0.8,0.8,10,boolq
cohere_medium-20221108,1.1,0.5,0.5,10,boolq
cohere_small-20220720,1.1,0.4,0.4,10,boolq
cohere_xlarge-20220609,1.1,0.4,0.4,10,boolq
cohere_xlarge-20221108,1.1,0.7,0.7,10,boolq
microsoft_TNLGv2_530B,1.1,0.9,0.9,10,boolq
microsoft_TNLGv2_7B,1.1,0.5,0.5,10,boolq
openai_ada,1.1,0.5,0.5,10,boolq
openai_babbage,1.1,0.6,0.6,10,boolq
openai_curie,1.1,0.7,0.7,10,boolq
openai_davinci,1.1,0.4,0.4,10,boolq
openai_text-ada-001,1.1,0.3,0.3,10,boolq
openai_text-babbage-001,1.1,0.5,0.5,10,boolq
openai_text-curie-001,1.1,0.5,0.5,10,boolq
openai_text-davinci-002,1.1,0.9,0.9,10,boolq
openai_text-davinci-003,1.1,0.9,0.9,10,boolq
together_bloom,1.1,0.6,0.6,10,boolq
together_glm,1.1,0.8,0.8,10,boolq
together_gpt-j-6b,1.1,0.5,0.5,10,boolq
together_gpt-neox-20b,1.1,0.4,0.4,10,boolq
together_opt-175b,1.1,0.8,0.8,10,boolq
together_opt-66b,1.1,0.8,0.8,10,boolq
together_t0pp,1.1,0.0,0.0,10,boolq
together_t5-11b,1.1,0.7,0.7,10,boolq
together_ul2,1.1,0.8,0.8,10,boolq
together_yalm,1.1,0.6,0.6,10,boolq
AlephAlpha_luminous-base,0.8,0.6,0.6,10,boolq
AlephAlpha_luminous-extended,0.8,0.7,0.7,10,boolq
ai21_j1-grande,0.8,0.9,0.9,10,boolq
