"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","375","217","37.5","21.7"
"scientific reasoning","122","58","32","47.540983606557376","26.229508196721312"
"textbook question answering","158","73","40","46.20253164556962","25.31645569620253"
"numeric commonsense","144","27","16","18.75","11.11111111111111"
"arithmetic reasoning","353","77","64","21.813031161473088","18.13031161473088"
"visual question answering","179","71","49","39.66480446927375","27.37430167597765"
"geometry reasoning","239","130","61","54.39330543933054","25.523012552301257"
"algebraic reasoning","281","155","75","55.16014234875445","26.690391459074732"
"geometry problem solving","208","124","57","59.61538461538461","27.403846153846157"
"math word problem","186","12","19","6.451612903225806","10.21505376344086"
"logical reasoning","37","19","4","51.35135135135135","10.81081081081081"
"figure question answering","269","95","52","35.31598513011153","19.33085501858736"
"statistical reasoning","301","86","52","28.57142857142857","17.275747508305646"
