"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","487","706","48.699999999999996","70.6"
"scientific reasoning","122","86","88","70.49180327868852","72.1311475409836"
"textbook question answering","158","100","120","63.29113924050633","75.9493670886076"
"numeric commonsense","144","39","65","27.083333333333332","45.13888888888889"
"arithmetic reasoning","353","98","235","27.762039660056658","66.57223796033995"
"visual question answering","179","92","102","51.39664804469274","56.98324022346368"
"geometry reasoning","239","155","171","64.85355648535564","71.54811715481172"
"algebraic reasoning","281","183","205","65.12455516014235","72.95373665480427"
"geometry problem solving","208","147","150","70.67307692307693","72.11538461538461"
"math word problem","186","22","145","11.827956989247312","77.95698924731182"
"logical reasoning","37","13","8","35.13513513513514","21.62162162162162"
"figure question answering","269","126","189","46.84014869888476","70.26022304832715"
"statistical reasoning","301","127","245","42.19269102990033","81.3953488372093"
