"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","570","316","56.99999999999999","31.6"
"scientific reasoning","122","95","49","77.8688524590164","40.16393442622951"
"textbook question answering","158","110","65","69.62025316455697","41.139240506329116"
"numeric commonsense","144","44","32","30.555555555555557","22.22222222222222"
"arithmetic reasoning","353","125","97","35.41076487252124","27.47875354107649"
"visual question answering","179","98","63","54.7486033519553","35.19553072625698"
"geometry reasoning","239","205","94","85.77405857740585","39.33054393305439"
"algebraic reasoning","281","235","107","83.62989323843416","38.07829181494662"
"geometry problem solving","208","196","82","94.23076923076923","39.42307692307692"
"math word problem","186","41","42","22.043010752688172","22.58064516129032"
"logical reasoning","37","23","6","62.16216216216216","16.216216216216218"
"figure question answering","269","125","64","46.468401486988846","23.79182156133829"
"statistical reasoning","301","118","75","39.202657807308974","24.916943521594686"
