"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","487","715","48.699999999999996","71.5"
"scientific reasoning","122","81","77","66.39344262295081","63.114754098360656"
"textbook question answering","158","92","108","58.22784810126582","68.35443037974683"
"numeric commonsense","144","44","67","30.555555555555557","46.52777777777778"
"arithmetic reasoning","353","119","236","33.711048158640224","66.85552407932012"
"visual question answering","179","97","104","54.18994413407822","58.10055865921788"
"geometry reasoning","239","158","187","66.10878661087865","78.24267782426779"
"algebraic reasoning","281","184","215","65.48042704626334","76.51245551601423"
"geometry problem solving","208","150","166","72.11538461538461","79.8076923076923"
"math word problem","186","39","148","20.967741935483872","79.56989247311827"
"logical reasoning","37","15","10","40.54054054054054","27.027027027027028"
"figure question answering","269","109","189","40.520446096654275","70.26022304832715"
"statistical reasoning","301","107","241","35.548172757475086","80.06644518272425"
