"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","578","255","57.8","25.5"
"scientific reasoning","122","94","46","77.04918032786885","37.704918032786885"
"textbook question answering","158","112","62","70.88607594936708","39.24050632911392"
"numeric commonsense","144","45","23","31.25","15.972222222222221"
"arithmetic reasoning","353","117","81","33.14447592067989","22.946175637393768"
"visual question answering","179","98","62","54.7486033519553","34.63687150837989"
"geometry reasoning","239","213","47","89.1213389121339","19.665271966527197"
"algebraic reasoning","281","244","68","86.83274021352312","24.199288256227756"
"geometry problem solving","208","203","42","97.59615384615384","20.192307692307693"
"math word problem","186","34","24","18.27956989247312","12.903225806451612"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","131","65","48.698884758364315","24.1635687732342"
"statistical reasoning","301","125","69","41.52823920265781","22.92358803986711"
