"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","703","611","70.3","61.1"
"scientific reasoning","122","97","74","79.50819672131148","60.65573770491803"
"textbook question answering","158","117","93","74.0506329113924","58.86075949367089"
"numeric commonsense","144","69","71","47.91666666666667","49.30555555555556"
"arithmetic reasoning","353","178","203","50.42492917847026","57.50708215297451"
"visual question answering","179","102","97","56.98324022346368","54.18994413407822"
"geometry reasoning","239","206","126","86.19246861924687","52.719665271966534"
"algebraic reasoning","281","235","145","83.62989323843416","51.60142348754449"
"geometry problem solving","208","189","110","90.86538461538461","52.88461538461539"
"math word problem","186","106","133","56.98924731182796","71.50537634408603"
"logical reasoning","37","23","9","62.16216216216216","24.324324324324326"
"figure question answering","269","189","178","70.26022304832715","66.17100371747212"
"statistical reasoning","301","190","220","63.12292358803987","73.08970099667775"
