"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","592","596","59.199999999999996","59.599999999999994"
"scientific reasoning","122","88","71","72.1311475409836","58.19672131147541"
"textbook question answering","158","99","96","62.65822784810127","60.75949367088608"
"numeric commonsense","144","39","49","27.083333333333332","34.02777777777778"
"arithmetic reasoning","353","158","213","44.759206798866856","60.3399433427762"
"visual question answering","179","91","97","50.83798882681564","54.18994413407822"
"geometry reasoning","239","166","140","69.4560669456067","58.57740585774059"
"algebraic reasoning","281","190","160","67.61565836298932","56.93950177935944"
"geometry problem solving","208","156","122","75.0","58.65384615384615"
"math word problem","186","79","117","42.473118279569896","62.903225806451616"
"logical reasoning","37","15","5","40.54054054054054","13.513513513513514"
"figure question answering","269","167","164","62.0817843866171","60.966542750929364"
"statistical reasoning","301","168","209","55.81395348837209","69.43521594684385"
