"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","551","345","55.1","34.5"
"scientific reasoning","122","90","53","73.77049180327869","43.44262295081967"
"textbook question answering","158","107","72","67.72151898734177","45.56962025316456"
"numeric commonsense","144","52","36","36.11111111111111","25.0"
"arithmetic reasoning","353","125","101","35.41076487252124","28.611898016997166"
"visual question answering","179","100","59","55.865921787709496","32.960893854748605"
"geometry reasoning","239","186","113","77.82426778242679","47.28033472803347"
"algebraic reasoning","281","214","129","76.15658362989323","45.90747330960854"
"geometry problem solving","208","174","105","83.65384615384616","50.480769230769226"
"math word problem","186","45","52","24.193548387096776","27.956989247311824"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","125","57","46.468401486988846","21.189591078066915"
"statistical reasoning","301","115","84","38.205980066445186","27.906976744186046"
