model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.0192,0.2724,,0.2724,5000,mmlu
AlephAlpha_luminous-extended,1.0192,0.317,,0.317,5000,mmlu
AlephAlpha_luminous-supreme,1.0192,0.3854,,0.3854,5000,mmlu
ai21_j1-grande,1.0192,0.2742,,0.2742,5000,mmlu
ai21_j1-grande-v2-beta,1.0192,0.4398,,0.4398,5000,mmlu
ai21_j1-jumbo,1.0192,0.2726,,0.2726,5000,mmlu
ai21_j1-large,1.0192,0.2516,,0.2516,5000,mmlu
anthropic_stanford-online-all-v4-s3,1.0192,0.4774,,0.4774,5000,mmlu
cohere_command-medium-beta,1.0192,0.4012,,0.4012,5000,mmlu
cohere_command-xlarge-beta,1.0192,0.4658,,0.4658,5000,mmlu
cohere_large-20220720,1.0192,0.3132,,0.3132,5000,mmlu
cohere_medium-20220720,1.0192,0.2752,,0.2752,5000,mmlu
cohere_medium-20221108,1.0192,0.2504,,0.2504,5000,mmlu
cohere_small-20220720,1.0192,0.275,,0.275,5000,mmlu
cohere_xlarge-20220609,1.0192,0.3516,,0.3516,5000,mmlu
cohere_xlarge-20221108,1.0192,0.392,,0.392,5000,mmlu
microsoft_TNLGv2_530B,1.0192,0.4792,,0.4792,5000,mmlu
microsoft_TNLGv2_7B,1.0192,0.2508,,0.2508,5000,mmlu
openai_ada,1.0192,0.2404,,0.2404,5000,mmlu
openai_babbage,1.0192,0.2352,,0.2352,5000,mmlu
openai_curie,1.0192,0.2522,,0.2522,5000,mmlu
openai_davinci,1.0192,0.418,,0.418,5000,mmlu
openai_text-ada-001,1.0192,0.239,,0.239,5000,mmlu
openai_text-babbage-001,1.0192,0.2404,,0.2404,5000,mmlu
openai_text-curie-001,1.0192,0.2488,,0.2488,5000,mmlu
openai_text-davinci-002,1.0192,0.5746,,0.5746,5000,mmlu
openai_text-davinci-003,1.0192,0.575,,0.575,5000,mmlu
together_bloom,1.0192,0.2926,,0.2926,5000,mmlu
together_glm,1.0192,0.3484,,0.3484,5000,mmlu
together_gpt-j-6b,1.0192,0.2406,,0.2406,5000,mmlu
together_gpt-neox-20b,1.0192,0.2726,,0.2726,5000,mmlu
together_opt-175b,1.0192,0.3118,,0.3118,5000,mmlu
together_opt-66b,1.0192,0.2738,,0.2738,5000,mmlu
together_t0pp,1.0192,0.4062,,0.4062,5000,mmlu
together_t5-11b,1.0192,0.287,,0.287,5000,mmlu
together_ul2,1.0192,0.2972,,0.2972,5000,mmlu
together_yalm,1.0192,0.2414,,0.2414,5000,mmlu
AlephAlpha_luminous-base,1.0006,0.2644,,0.2644,5000,mmlu
AlephAlpha_luminous-extended,1.0006,0.308,,0.308,5000,mmlu
AlephAlpha_luminous-supreme,1.0006,0.3766,,0.3766,5000,mmlu
ai21_j1-grande,1.0006,0.273,,0.273,5000,mmlu
ai21_j1-grande-v2-beta,1.0006,0.4466,,0.4466,5000,mmlu
ai21_j1-jumbo,1.0006,0.2508,,0.2508,5000,mmlu
ai21_j1-large,1.0006,0.2568,,0.2568,5000,mmlu
anthropic_stanford-online-all-v4-s3,1.0006,0.4824,,0.4824,5000,mmlu
cohere_command-medium-beta,1.0006,0.4042,,0.4042,5000,mmlu
cohere_command-xlarge-beta,1.0006,0.4612,,0.4612,5000,mmlu
cohere_large-20220720,1.0006,0.3074,,0.3074,5000,mmlu
cohere_medium-20220720,1.0006,0.283,,0.283,5000,mmlu
cohere_medium-20221108,1.0006,0.2668,,0.2668,5000,mmlu
cohere_small-20220720,1.0006,0.2698,,0.2698,5000,mmlu
cohere_xlarge-20220609,1.0006,0.3604,,0.3604,5000,mmlu
cohere_xlarge-20221108,1.0006,0.3806,,0.3806,5000,mmlu
microsoft_TNLGv2_530B,1.0006,0.4742,,0.4742,5000,mmlu
microsoft_TNLGv2_7B,1.0006,0.2478,,0.2478,5000,mmlu
openai_ada,1.0006,0.235,,0.235,5000,mmlu
openai_babbage,1.0006,0.2384,,0.2384,5000,mmlu
openai_curie,1.0006,0.2582,,0.2582,5000,mmlu
openai_davinci,1.0006,0.4208,,0.4208,5000,mmlu
openai_text-ada-001,1.0006,0.2428,,0.2428,5000,mmlu
openai_text-babbage-001,1.0006,0.2346,,0.2346,5000,mmlu
openai_text-curie-001,1.0006,0.2504,,0.2504,5000,mmlu
openai_text-davinci-002,1.0006,0.5726,,0.5726,5000,mmlu
openai_text-davinci-003,1.0006,0.5738,,0.5738,5000,mmlu
together_bloom,1.0006,0.2924,,0.2924,5000,mmlu
together_glm,1.0006,0.3426,,0.3426,5000,mmlu
together_gpt-j-6b,1.0006,0.2452,,0.2452,5000,mmlu
together_gpt-neox-20b,1.0006,0.2796,,0.2796,5000,mmlu
together_opt-175b,1.0006,0.3126,,0.3126,5000,mmlu
together_opt-66b,1.0006,0.2762,,0.2762,5000,mmlu
together_t0pp,1.0006,0.4206,,0.4206,5000,mmlu
together_t5-11b,1.0006,0.2856,,0.2856,5000,mmlu
together_ul2,1.0006,0.302,,0.302,5000,mmlu
together_yalm,1.0006,0.2258,,0.2258,5000,mmlu
AlephAlpha_luminous-base,0.9882,0.2732,,0.2732,5000,mmlu
AlephAlpha_luminous-extended,0.9882,0.3098,,0.3098,5000,mmlu
AlephAlpha_luminous-supreme,0.9882,0.3782,,0.3782,5000,mmlu
ai21_j1-grande,0.9882,0.2512,,0.2512,5000,mmlu
ai21_j1-grande-v2-beta,0.9882,0.4346,,0.4346,5000,mmlu
ai21_j1-jumbo,0.9882,0.254,,0.254,5000,mmlu
ai21_j1-large,0.9882,0.2378,,0.2378,5000,mmlu
anthropic_stanford-online-all-v4-s3,0.9882,0.4764,,0.4764,5000,mmlu
cohere_command-medium-beta,0.9882,0.405,,0.405,5000,mmlu
cohere_command-xlarge-beta,0.9882,0.452,,0.452,5000,mmlu
cohere_large-20220720,0.9882,0.3086,,0.3086,5000,mmlu
cohere_medium-20220720,0.9882,0.2882,,0.2882,5000,mmlu
cohere_medium-20221108,0.9882,0.2508,,0.2508,5000,mmlu
cohere_small-20220720,0.9882,0.2608,,0.2608,5000,mmlu
cohere_xlarge-20220609,0.9882,0.3428,,0.3428,5000,mmlu
cohere_xlarge-20221108,0.9882,0.3724,,0.3724,5000,mmlu
microsoft_TNLGv2_530B,0.9882,0.4618,,0.4618,5000,mmlu
microsoft_TNLGv2_7B,0.9882,0.2398,,0.2398,5000,mmlu
openai_ada,0.9882,0.2468,,0.2468,5000,mmlu
openai_babbage,0.9882,0.2442,,0.2442,5000,mmlu
openai_curie,0.9882,0.238,,0.238,5000,mmlu
openai_davinci,0.9882,0.4092,,0.4092,5000,mmlu
openai_text-ada-001,0.9882,0.241,,0.241,5000,mmlu
openai_text-babbage-001,0.9882,0.2232,,0.2232,5000,mmlu
openai_text-curie-001,0.9882,0.2248,,0.2248,5000,mmlu
openai_text-davinci-002,0.9882,0.5688,,0.5688,5000,mmlu
openai_text-davinci-003,0.9882,0.5734,,0.5734,5000,mmlu
together_bloom,0.9882,0.2798,,0.2798,5000,mmlu
together_glm,0.9882,0.3372,,0.3372,5000,mmlu
together_gpt-j-6b,0.9882,0.2324,,0.2324,5000,mmlu
together_gpt-neox-20b,0.9882,0.2818,,0.2818,5000,mmlu
together_opt-175b,0.9882,0.3022,,0.3022,5000,mmlu
together_opt-66b,0.9882,0.2756,,0.2756,5000,mmlu
together_t0pp,0.9882,0.4076,,0.4076,5000,mmlu
together_t5-11b,0.9882,0.2836,,0.2836,5000,mmlu
together_ul2,0.9882,0.2966,,0.2966,5000,mmlu
together_yalm,0.9882,0.243,,0.243,5000,mmlu
AlephAlpha_luminous-base,1.0002,0.2718,,0.2718,5000,mmlu
AlephAlpha_luminous-extended,1.0002,0.323,,0.323,5000,mmlu
AlephAlpha_luminous-supreme,1.0002,0.3814,,0.3814,5000,mmlu
ai21_j1-grande,1.0002,0.2658,,0.2658,5000,mmlu
ai21_j1-grande-v2-beta,1.0002,0.4272,,0.4272,5000,mmlu
ai21_j1-jumbo,1.0002,0.2526,,0.2526,5000,mmlu
ai21_j1-large,1.0002,0.246,,0.246,5000,mmlu
anthropic_stanford-online-all-v4-s3,1.0002,0.4756,,0.4756,5000,mmlu
cohere_command-medium-beta,1.0002,0.401,,0.401,5000,mmlu
cohere_command-xlarge-beta,1.0002,0.4476,,0.4476,5000,mmlu
cohere_large-20220720,1.0002,0.3168,,0.3168,5000,mmlu
cohere_medium-20220720,1.0002,0.2818,,0.2818,5000,mmlu
cohere_medium-20221108,1.0002,0.255,,0.255,5000,mmlu
cohere_small-20220720,1.0002,0.2766,,0.2766,5000,mmlu
