"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","569","54.0","56.89999999999999"
"scientific reasoning","122","94","65","77.04918032786885","53.278688524590166"
"textbook question answering","158","107","76","67.72151898734177","48.10126582278481"
"numeric commonsense","144","39","45","27.083333333333332","31.25"
"arithmetic reasoning","353","99","171","28.04532577903683","48.44192634560906"
"visual question answering","179","92","67","51.39664804469274","37.43016759776536"
"geometry reasoning","239","212","155","88.70292887029288","64.85355648535564"
"algebraic reasoning","281","239","167","85.05338078291815","59.430604982206404"
"geometry problem solving","208","203","139","97.59615384615384","66.82692307692307"
"math word problem","186","22","123","11.827956989247312","66.12903225806451"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","116","164","43.12267657992565","60.966542750929364"
"statistical reasoning","301","106","204","35.21594684385382","67.77408637873754"
