model,train_trial_index,score,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,0.9840319361277445,0.8622754491017964,0.6958731426036815,500,civil_comments
AlephAlpha_luminous-extended,0.9840319361277445,0.2714570858283433,0.21737591483699267,500,civil_comments
AlephAlpha_luminous-supreme,0.9840319361277445,0.908183632734531,0.733053670436904,500,civil_comments
ai21_j1-grande,0.9840319361277445,0.5369261477045908,0.4323763583943224,500,civil_comments
ai21_j1-grande-v2-beta,0.9840319361277445,0.47704590818363274,0.3838800177422932,500,civil_comments
ai21_j1-jumbo,0.9840319361277445,1.0,0.8074147261033489,500,civil_comments
ai21_j1-large,0.9840319361277445,0.5548902195608783,0.44692526058993126,500,civil_comments
anthropic_stanford-online-all-v4-s3,0.9840319361277445,0.9161676646706587,0.739519849190508,500,civil_comments
cohere_command-medium-beta,0.9840319361277445,0.998003992015968,0.8070352628077179,500,civil_comments
cohere_command-xlarge-beta,0.9840319361277445,0.9880239520958084,0.797715457972943,500,civil_comments
cohere_large-20220720,0.9840319361277445,0.8023952095808383,0.6498509647371923,500,civil_comments
cohere_medium-20220720,0.9840319361277445,0.9560878243512974,0.7743249057440674,500,civil_comments
cohere_medium-20221108,0.9840319361277445,0.011976047904191617,0.007225105344865824,500,civil_comments
cohere_small-20220720,0.9840319361277445,0.005988023952095809,0.0023754712796628962,500,civil_comments
cohere_xlarge-20220609,0.9840319361277445,0.9760479041916168,0.7880161898425371,500,civil_comments
cohere_xlarge-20221108,0.9840319361277445,0.3153692614770459,0.25293989798181415,500,civil_comments
microsoft_TNLGv2_530B,0.9840319361277445,0.9920159680638723,0.800948547349745,500,civil_comments
microsoft_TNLGv2_7B,0.9840319361277445,0.7105788423153693,0.5730157462852074,500,civil_comments
openai_ada,0.9840319361277445,0.18562874251497005,0.1478644932357507,500,civil_comments
openai_babbage,0.9840319361277445,0.10578842315369262,0.08567686848525172,500,civil_comments
openai_curie,0.9840319361277445,0.9121756487025948,0.7362867598137058,500,civil_comments
openai_davinci,0.9840319361277445,0.9540918163672655,0.7714712796628964,500,civil_comments
