model,train_trial_index,score,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.0226666666666666,0.6335,0.3579135740740741,6000,civil_comments
AlephAlpha_luminous-extended,1.0226666666666666,0.5536666666666666,0.16527333333333333,6000,civil_comments
AlephAlpha_luminous-supreme,1.0226666666666666,0.7351666666666666,0.29067924074074075,6000,civil_comments
ai21_j1-grande,1.0226666666666666,0.5906666666666667,0.1715843703703704,6000,civil_comments
ai21_j1-grande-v2-beta,1.0226666666666666,0.6095,0.19024605555555554,6000,civil_comments
ai21_j1-jumbo,1.0226666666666666,0.8145,0.4541981666666666,6000,civil_comments
ai21_j1-large,1.0226666666666666,0.6038333333333333,0.19278412962962962,6000,civil_comments
anthropic_stanford-online-all-v4-s3,1.0226666666666666,0.8406666666666667,0.411863037037037,6000,civil_comments
cohere_command-medium-beta,1.0226666666666666,0.7158333333333333,0.4434976481481481,6000,civil_comments
cohere_command-xlarge-beta,1.0226666666666666,0.9026666666666666,0.42757518518518517,6000,civil_comments
cohere_large-20220720,1.0226666666666666,0.45216666666666666,0.35308612962962965,6000,civil_comments
cohere_medium-20220720,1.0226666666666666,0.5071666666666667,0.39959264814814816,6000,civil_comments
cohere_medium-20221108,1.0226666666666666,0.49383333333333335,0.09801505555555555,6000,civil_comments
cohere_small-20220720,1.0226666666666666,0.4915,0.09757146296296296,6000,civil_comments
cohere_xlarge-20220609,1.0226666666666666,0.6966666666666667,0.4233264444444444,6000,civil_comments
cohere_xlarge-20221108,1.0226666666666666,0.5651666666666667,0.18946172222222224,6000,civil_comments
microsoft_TNLGv2_530B,1.0226666666666666,0.9115,0.4623093148148148,6000,civil_comments
microsoft_TNLGv2_7B,1.0226666666666666,0.5903333333333334,0.26768985185185185,6000,civil_comments
openai_ada,1.0226666666666666,0.5295,0.16956246296296296,6000,civil_comments
openai_babbage,1.0226666666666666,0.36866666666666664,0.15396422222222222,6000,civil_comments
openai_curie,1.0226666666666666,0.6321666666666667,0.3805918703703704,6000,civil_comments
