"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","495","471","49.5","47.099999999999994"
"scientific reasoning","122","87","55","71.31147540983606","45.08196721311475"
"textbook question answering","158","100","76","63.29113924050633","48.10126582278481"
"numeric commonsense","144","41","42","28.47222222222222","29.166666666666668"
"arithmetic reasoning","353","101","143","28.611898016997166","40.50991501416431"
"visual question answering","179","94","70","52.513966480446925","39.10614525139665"
"geometry reasoning","239","174","130","72.80334728033473","54.39330543933054"
"algebraic reasoning","281","201","149","71.53024911032028","53.02491103202846"
"geometry problem solving","208","166","115","79.8076923076923","55.28846153846154"
"math word problem","186","22","78","11.827956989247312","41.935483870967744"
"logical reasoning","37","20","7","54.054054054054056","18.91891891891892"
"figure question answering","269","113","132","42.00743494423792","49.07063197026022"
"statistical reasoning","301","106","166","35.21594684385382","55.14950166112956"
