"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","552","453","55.2","45.300000000000004"
"scientific reasoning","122","94","67","77.04918032786885","54.91803278688525"
"textbook question answering","158","109","77","68.9873417721519","48.734177215189874"
"numeric commonsense","144","55","45","38.19444444444444","31.25"
"arithmetic reasoning","353","152","120","43.05949008498583","33.994334277620396"
"visual question answering","179","105","73","58.659217877094974","40.78212290502793"
"geometry reasoning","239","123","126","51.46443514644351","52.719665271966534"
"algebraic reasoning","281","147","134","52.313167259786475","47.686832740213525"
"geometry problem solving","208","109","114","52.40384615384615","54.807692307692314"
"math word problem","186","64","55","34.40860215053764","29.56989247311828"
"logical reasoning","37","21","5","56.75675675675676","13.513513513513514"
"figure question answering","269","165","134","61.33828996282528","49.814126394052046"
"statistical reasoning","301","171","155","56.810631229235874","51.49501661129568"
