"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","500","426","50.0","42.6"
"scientific reasoning","122","89","61","72.95081967213115","50.0"
"textbook question answering","158","102","85","64.55696202531645","53.79746835443038"
"numeric commonsense","144","38","45","26.38888888888889","31.25"
"arithmetic reasoning","353","97","158","27.47875354107649","44.759206798866856"
"visual question answering","179","90","75","50.27932960893855","41.899441340782126"
"geometry reasoning","239","179","88","74.89539748953975","36.82008368200837"
"algebraic reasoning","281","206","111","73.30960854092527","39.50177935943061"
"geometry problem solving","208","170","71","81.73076923076923","34.13461538461539"
"math word problem","186","22","88","11.827956989247312","47.31182795698925"
"logical reasoning","37","24","8","64.86486486486487","21.62162162162162"
"figure question answering","269","116","107","43.12267657992565","39.77695167286245"
"statistical reasoning","301","106","150","35.21594684385382","49.83388704318937"
