"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","581","366","58.099999999999994","36.6"
"scientific reasoning","122","94","56","77.04918032786885","45.90163934426229"
"textbook question answering","158","107","73","67.72151898734177","46.20253164556962"
"numeric commonsense","144","63","53","43.75","36.80555555555556"
"arithmetic reasoning","353","142","125","40.226628895184135","35.41076487252124"
"visual question answering","179","99","80","55.3072625698324","44.6927374301676"
"geometry reasoning","239","185","77","77.40585774058577","32.21757322175732"
"algebraic reasoning","281","205","88","72.95373665480427","31.316725978647685"
"geometry problem solving","208","169","64","81.25","30.76923076923077"
"math word problem","186","75","68","40.32258064516129","36.55913978494624"
"logical reasoning","37","25","1","67.56756756756756","2.7027027027027026"
"figure question answering","269","131","81","48.698884758364315","30.111524163568777"
"statistical reasoning","301","127","103","42.19269102990033","34.21926910299003"
