"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","484","511","48.4","51.1"
"scientific reasoning","122","90","60","73.77049180327869","49.18032786885246"
"textbook question answering","158","101","80","63.92405063291139","50.63291139240506"
"numeric commonsense","144","40","38","27.77777777777778","26.38888888888889"
"arithmetic reasoning","353","104","156","29.461756373937675","44.19263456090651"
"visual question answering","179","93","78","51.955307262569825","43.575418994413404"
"geometry reasoning","239","135","144","56.48535564853556","60.25104602510461"
"algebraic reasoning","281","161","159","57.29537366548043","56.58362989323843"
"geometry problem solving","208","127","129","61.057692307692314","62.019230769230774"
"math word problem","186","26","83","13.978494623655912","44.623655913978496"
"logical reasoning","37","11","7","29.72972972972973","18.91891891891892"
"figure question answering","269","137","141","50.92936802973978","52.41635687732342"
"statistical reasoning","301","140","181","46.51162790697674","60.13289036544851"
